retailer_code:0,pallet_number,load,category,jnumber,title,Qty,msrp,sku,manifested,upc,condition,condition_notes,date_listed
,MEE2,MEE000708,Apparel,4PJ803BNVM3X4,Steve Harv BT Windowpane2pcSet Navy 3XL/44         ,1,109.99,0442,X,,New,New in original packaging.,..
,MEE2,MEE000708,Cosmetics / Fragrance,4NU0530000010,Conair Even Cut Rotary Hair Cut Cutting System     ,1,59.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Cosmetics / Fragrance,4QM3410000010,D&G Light Blue 2 Pc Ladies Set                     ,1,89,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Cosmetics / Fragrance,4QM3410000010,D&G Light Blue 2 Pc Ladies Set                     ,1,89,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Footwear,4N28840000010,Argyle Jacquard 5pc Set Red                        ,1,149.99,0451,X,,New,New in original packaging.,..
,MEE2,MEE000708,Footwear,4QB267NBZ0010,Relic Norwood Crossbody Bronze                     ,1,69.99,0440,X,,New,New in original packaging.,..
,MEE2,MEE000708,Footwear,4PQ789NPW0010,Relic Vicky Checkbook Pewter                       ,1,29.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QB5230000010,"10"" Beige ""NOEL"" Display                           ",1,34.99,0437,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QC7120000010,"11.25"" Snowflake Tree Topper                       ",1,19.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QC7120000010,"11.25"" Snowflake Tree Topper                       ",1,19.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QB5250000010,"12"" Red/Green ""JOY"" Display                        ",1,29.99,0471,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4PG4360000010,"24"" LED LightedChristmasWreath                     ",1,29.99,0472,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4PG4360000010,"24"" LED LightedChristmasWreath                     ",1,29.99,0500,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4PG4360000010,"24"" LED LightedChristmasWreath                     ",1,29.99,2480,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4NE3020000010,"26"" Rudolph Yard Art                               ",1,49.99,0476,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QA3250000010,3 pc. LED Flocked Snowflakes                       ,1,29.99,0431,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QA3250000010,3 pc. LED Flocked Snowflakes                       ,1,29.99,0461,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QA3250000010,3 pc. LED Flocked Snowflakes                       ,1,29.99,0467,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QD1660000010,4' Happy Penguin                                   ,1,39.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4F06700000010,"60"" Holograph Santa & Reindeer                     ",1,39.99,0413,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4QB5270000010,"7"" RED ""NOEL"" Display                              ",1,29.99,0448,X,,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4NK7370000010,Fabric Vinyl Camping Pillow                        ,1,9.99,..,..,..,New,New in original packaging.,..
,MEE2,MEE000708,Home Furnishings,4NK7370000010,Fabric Vinyl Camping Pillow                        ,1,9.99,..,..,..,New,New in original packaging.,..
